Model,Accuracy,Precision,Recall,F1
Random Forest,0.9807692307692307,0.9803181490840756,0.9807692307692307,0.9804392340911932
XGBoost,0.9669285583774895,0.9710806519046612,0.9669285583774895,0.9685077861861913
KNN,0.9556915768317193,0.9662675267101982,0.9556915768317193,0.9594466408234326
Decision Tree,0.927279371459894,0.9462651483596118,0.927279371459894,0.9342987399669168
Logistic Regression,0.672528777635666,0.8808525023432336,0.672528777635666,0.7357783241646916
